DEV_ENV_1,stdecdvvap1.va.neustar.com
DEV_ENV_2,stdecdvvap2.va.neustar.com
QALP1_COORD_1,stdecqavap1.va.neustar.com
QALP1_COORD_2,stdecqavap9.va.neustar.com
QALP2_COORD_1,stdecqavap2.va.neustar.com
QALP3_ST_COORD_1,stdecqavap3.va.neustar.com
QALP3_ST_COORD_2,stdecqavap4.va.neustar.com
QALP3_ST_COORD_3,stdecqavap7.va.neustar.com
QALP3_ST_COORD_4,stdecqavap8.va.neustar.com
QALP3_ST_COORD_5,stdecqavap11.va.neustar.com
QALP3_ST_COORD_6,stdecqavap12.va.neustar.com
QALP3_ST_COORD_7,stdecqavap10.va.neustar.com
QALP3_ST_COORD_8,stdecqavap13.va.neustar.com
QALP3_ST_COORD_9,stdecqavap14.va.neustar.com
QALP3_ST_COORD_10,stdecqavap15.va.neustar.com
QALP3_CH_COORD_1,chdecqavap1.nc.neustar.com
QALP3_CH_COORD_2,chdecqavap2.nc.neustar.com
QALP3_CH_COORD_3,chdecqavap3.nc.neustar.com
QALP3_CH_COORD_4,chdecqavap4.nc.neustar.com

